Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-9817.821004
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-8060.201405
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-6375.225151
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-7894.866220
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-10519.942775
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-7655.368467
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-6851.722931
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-9126.633662
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-9486.413928
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-13010.773003
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-10022.371259
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-10654.375607
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-13791.304586
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-20789.678246
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-18902.133568
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-16202.387868
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-120377.265957
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-16370.515701
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-14672.206790
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-135654.405630
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-23753.692317
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-23018.778283
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-20656.155501
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-22995.630722
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-25986.520774
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-30873.749022
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-31996.385805
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-30633.760235
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-30826.776359
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-188297.158675
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-20628.623841
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-25901.961119
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-17623.426092
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-17685.860799
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-26248.896453
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-31202.473227
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-52589.738763
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-25372.120180
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-36167.333851
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-35684.661924
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-33497.289043
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-41148.156735
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-41665.653677
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-30039.670888
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-36742.379475
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-28100.217983
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-32571.556421
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-33289.774020
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-35775.612058
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-42897.391037
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-44239.289994
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-45198.009994
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-40212.567294
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-42899.544747
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-44879.391937
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-44410.224718
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-44751.309100
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-62968.414368
TestPybindStrategy,2021-Nov-05 14:29:03.270156,-63994.127094
TestPybindStrategy,2021-Nov-05 14:30:04.203738,-64416.619643
TestPybindStrategy,2021-Nov-05 14:31:05.273470,-51208.617109
TestPybindStrategy,2021-Nov-05 14:32:06.484538,-65220.823335
TestPybindStrategy,2021-Nov-05 14:33:08.212300,-66579.730399
TestPybindStrategy,2021-Nov-05 14:34:08.833662,-66898.586151
TestPybindStrategy,2021-Nov-05 14:35:09.478166,-66826.369673
TestPybindStrategy,2021-Nov-05 14:36:10.093939,-64091.734378
TestPybindStrategy,2021-Nov-05 14:37:11.112722,-62503.972132
TestPybindStrategy,2021-Nov-05 14:38:12.521434,-61812.977086
TestPybindStrategy,2021-Nov-05 14:39:16.646181,-89740.258652
TestPybindStrategy,2021-Nov-05 14:40:17.670792,-70169.597095
TestPybindStrategy,2021-Nov-05 14:41:18.210180,-69443.516348
TestPybindStrategy,2021-Nov-05 14:42:19.528742,-81777.481161
TestPybindStrategy,2021-Nov-05 14:43:20.545829,-74238.745367
TestPybindStrategy,2021-Nov-05 14:44:22.850544,-69676.770021
TestPybindStrategy,2021-Nov-05 14:45:24.427045,-67441.798053
TestPybindStrategy,2021-Nov-05 14:46:25.776940,-74586.582962
TestPybindStrategy,2021-Nov-05 14:47:29.923817,-81878.939577
TestPybindStrategy,2021-Nov-05 14:48:31.068517,-76413.579483
TestPybindStrategy,2021-Nov-05 14:49:32.509612,-76479.952066
TestPybindStrategy,2021-Nov-05 14:50:32.932424,-79038.667964
TestPybindStrategy,2021-Nov-05 14:51:33.379920,-140092.065469
TestPybindStrategy,2021-Nov-05 14:52:34.034100,-83639.368152
TestPybindStrategy,2021-Nov-05 14:53:36.700805,-80171.026280
