Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-15902.843741
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-4216.203741
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-568.181506
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-2910.705961
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-7246.705961
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-1791.812761
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-169.009169
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-4034.403279
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-4635.263279
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-10810.323279
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-5548.283279
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-6566.323279
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-12089.883279
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-25819.243279
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-21670.003279
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-15735.643279
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-241298.163279
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-15149.723279
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-7977.443279
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-270269.803279
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-25657.163279
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-23677.323279
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-18336.443279
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-21456.723279
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-27758.083279
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-38515.443279
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-40673.163279
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-37490.043279
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-36020.803279
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-377178.610479
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-11537.870479
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-21955.810479
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-3397.177279
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-2905.737279
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-20484.770479
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-30824.418879
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-75818.326079
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-17701.688879
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-40446.563279
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-39371.363279
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-34729.734479
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-50262.363279
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-50947.043279
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-26514.243279
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-40170.323279
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-21565.243279
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-30584.563279
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-32187.523279
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-37390.443279
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-51651.121679
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-54302.443279
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-55914.163279
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-45712.883279
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-51080.843279
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-55084.295679
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-54003.923279
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-54640.363279
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-91841.163279
