Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-42.212000
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-1.912000
TestPybindStrategy,2021-Nov-05 13:32:16.380840,2.188000
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-0.412000
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-2.612000
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-0.212000
TestPybindStrategy,2021-Nov-05 13:36:17.108972,0.388000
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-0.912000
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-1.012000
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-2.812000
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-1.312000
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-1.612000
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-2.812000
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-5.612000
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-4.812000
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-3.712000
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-42.212000
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-3.512000
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-2.312000
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-42.212000
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-4.912000
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-4.512000
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-3.712000
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-4.012000
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-4.812000
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-6.112000
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-6.312000
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-5.912000
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-5.712000
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-42.212000
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-2.912000
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-3.812000
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-1.912000
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-1.812000
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-3.412000
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-4.312000
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-8.312000
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-3.012000
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-5.012000
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-4.912000
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-4.512000
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-5.812000
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-5.812000
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-3.712000
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-4.812000
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-3.212000
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-3.912000
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-4.012000
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-4.412000
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-5.512000
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-5.712000
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-5.812000
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-5.012000
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-5.412000
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-5.712000
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-5.612000
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-5.612000
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-8.312000
TestPybindStrategy,2021-Nov-05 14:29:03.270156,-8.312000
TestPybindStrategy,2021-Nov-05 14:30:04.203738,-8.312000
TestPybindStrategy,2021-Nov-05 14:31:05.273470,-6.312000
TestPybindStrategy,2021-Nov-05 14:32:06.484538,-8.312000
TestPybindStrategy,2021-Nov-05 14:33:08.212300,-8.312000
TestPybindStrategy,2021-Nov-05 14:34:08.833662,-8.312000
TestPybindStrategy,2021-Nov-05 14:35:09.478166,-8.212000
TestPybindStrategy,2021-Nov-05 14:36:10.093939,-7.712000
TestPybindStrategy,2021-Nov-05 14:37:11.112722,-7.412000
TestPybindStrategy,2021-Nov-05 14:38:12.521434,-7.312000
TestPybindStrategy,2021-Nov-05 14:39:16.646181,-10.912000
TestPybindStrategy,2021-Nov-05 14:40:17.670792,-8.312000
TestPybindStrategy,2021-Nov-05 14:41:18.210180,-8.212000
TestPybindStrategy,2021-Nov-05 14:42:19.528742,-9.812000
TestPybindStrategy,2021-Nov-05 14:43:20.545829,-8.812000
TestPybindStrategy,2021-Nov-05 14:44:22.850544,-8.212000
TestPybindStrategy,2021-Nov-05 14:45:24.427045,-7.912000
TestPybindStrategy,2021-Nov-05 14:46:25.776940,-8.812000
TestPybindStrategy,2021-Nov-05 14:47:29.923817,-9.712000
TestPybindStrategy,2021-Nov-05 14:48:31.068517,-9.012000
TestPybindStrategy,2021-Nov-05 14:49:32.509612,-9.012000
TestPybindStrategy,2021-Nov-05 14:50:32.932424,-9.312000
TestPybindStrategy,2021-Nov-05 14:51:33.379920,-16.312000
TestPybindStrategy,2021-Nov-05 14:52:34.034100,-9.812000
TestPybindStrategy,2021-Nov-05 14:53:36.700805,-9.412000
TestPybindStrategy,2021-Nov-05 14:54:37.530571,-8.612000
TestPybindStrategy,2021-Nov-05 14:55:38.359290,-8.812000
TestPybindStrategy,2021-Nov-05 14:56:39.105890,-8.612000
TestPybindStrategy,2021-Nov-05 14:57:39.770865,-7.612000
TestPybindStrategy,2021-Nov-05 14:58:40.487586,-8.012000
TestPybindStrategy,2021-Nov-05 14:59:42.694385,-8.312000
TestPybindStrategy,2021-Nov-05 15:00:43.424337,-8.412000
TestPybindStrategy,2021-Nov-05 15:01:46.300430,-7.712000
TestPybindStrategy,2021-Nov-05 15:02:47.143290,-8.912000
TestPybindStrategy,2021-Nov-05 15:03:48.289804,-9.412000
TestPybindStrategy,2021-Nov-05 15:04:49.482994,-9.412000
TestPybindStrategy,2021-Nov-05 15:05:49.824046,-10.712000
TestPybindStrategy,2021-Nov-05 15:06:50.788199,-8.412000
TestPybindStrategy,2021-Nov-05 15:07:55.661282,-10.712000
TestPybindStrategy,2021-Nov-05 15:09:00.359057,-8.312000
TestPybindStrategy,2021-Nov-05 15:10:01.427832,-8.112000
TestPybindStrategy,2021-Nov-05 15:11:07.198966,-7.112000
TestPybindStrategy,2021-Nov-05 15:12:09.615362,-10.712000
TestPybindStrategy,2021-Nov-05 15:13:14.298307,-6.812000
TestPybindStrategy,2021-Nov-05 15:14:18.114875,-7.112000
TestPybindStrategy,2021-Nov-05 15:15:21.620368,-7.112000
TestPybindStrategy,2021-Nov-05 15:16:22.111630,-7.812000
TestPybindStrategy,2021-Nov-05 15:17:22.934096,-7.012000
TestPybindStrategy,2021-Nov-05 15:18:28.091133,-6.212000
TestPybindStrategy,2021-Nov-05 15:19:29.972603,-6.812000
TestPybindStrategy,2021-Nov-05 15:20:30.445954,-6.512000
TestPybindStrategy,2021-Nov-05 15:21:31.800756,-7.512000
TestPybindStrategy,2021-Nov-05 15:22:33.228807,-7.312000
TestPybindStrategy,2021-Nov-05 15:23:34.329492,-10.712000
TestPybindStrategy,2021-Nov-05 15:24:35.757414,-8.212000
TestPybindStrategy,2021-Nov-05 15:25:38.883676,-10.712000
