Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-8129.071878
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-9151.002586
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-7697.861085
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-9018.303471
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-11942.563637
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-8026.070437
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-6789.827112
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-9805.571298
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-10328.711573
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-15277.971573
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-11037.431573
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-11851.171573
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-16557.531573
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-28380.091573
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-24775.651573
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-19590.391573
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-218168.330271
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-19148.590271
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-12815.970012
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-245944.349359
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-28577.387192
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-26874.539941
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-22236.756584
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-25409.863208
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-30910.423208
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-40366.483208
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-42297.921413
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-39527.660213
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-38275.996792
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-338829.952194
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-18453.477154
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-27644.868930
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-11913.811663
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-11616.229615
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-26736.877797
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-35553.382783
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-73684.147675
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-24854.083976
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-44004.876850
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-43110.776850
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-39193.548050
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-52350.795167
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-53026.311061
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-32565.447672
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-44097.264754
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-28691.540040
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-36276.998018
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-37659.236344
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-42023.215727
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-53975.171288
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-56198.751912
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-57589.207784
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-49125.186876
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-53615.665013
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-56958.817413
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-56097.462972
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-56740.574559
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-87598.427650
TestPybindStrategy,2021-Nov-05 14:29:03.270156,-88726.640107
TestPybindStrategy,2021-Nov-05 14:30:04.203738,-89474.466984
TestPybindStrategy,2021-Nov-05 14:31:05.273470,-67000.538642
TestPybindStrategy,2021-Nov-05 14:32:06.484538,-90465.437532
TestPybindStrategy,2021-Nov-05 14:33:08.212300,-91725.221340
TestPybindStrategy,2021-Nov-05 14:34:08.833662,-92231.976092
TestPybindStrategy,2021-Nov-05 14:35:09.478166,-91869.887695
TestPybindStrategy,2021-Nov-05 14:36:10.093939,-86895.277301
TestPybindStrategy,2021-Nov-05 14:37:11.112722,-83866.611426
TestPybindStrategy,2021-Nov-05 14:38:12.521434,-82671.678626
TestPybindStrategy,2021-Nov-05 14:39:16.646181,-128132.980060
TestPybindStrategy,2021-Nov-05 14:40:17.670792,-96227.118412
TestPybindStrategy,2021-Nov-05 14:41:18.210180,-95141.978412
TestPybindStrategy,2021-Nov-05 14:42:19.528742,-115601.458412
TestPybindStrategy,2021-Nov-05 14:43:20.545829,-103014.778412
TestPybindStrategy,2021-Nov-05 14:44:22.850544,-95357.418412
TestPybindStrategy,2021-Nov-05 14:45:24.427045,-91462.872012
TestPybindStrategy,2021-Nov-05 14:46:25.776940,-103473.418412
TestPybindStrategy,2021-Nov-05 14:47:29.923817,-115675.198412
TestPybindStrategy,2021-Nov-05 14:48:31.068517,-106286.385612
TestPybindStrategy,2021-Nov-05 14:49:32.509612,-106369.545612
TestPybindStrategy,2021-Nov-05 14:50:32.932424,-110621.305612
TestPybindStrategy,2021-Nov-05 14:51:33.379920,-212615.558412
TestPybindStrategy,2021-Nov-05 14:52:34.034100,-118042.378412
TestPybindStrategy,2021-Nov-05 14:53:36.700805,-112223.098412
TestPybindStrategy,2021-Nov-05 14:54:37.530571,-100410.178412
TestPybindStrategy,2021-Nov-05 14:55:38.359290,-103465.778412
TestPybindStrategy,2021-Nov-05 14:56:39.105890,-100636.378412
TestPybindStrategy,2021-Nov-05 14:57:39.770865,-85336.458412
TestPybindStrategy,2021-Nov-05 14:58:40.487586,-91555.618412
TestPybindStrategy,2021-Nov-05 14:59:42.694385,-96287.878412
TestPybindStrategy,2021-Nov-05 15:00:43.424337,-98355.138412
TestPybindStrategy,2021-Nov-05 15:01:46.300430,-87806.352447
TestPybindStrategy,2021-Nov-05 15:02:47.143290,-107567.367413
TestPybindStrategy,2021-Nov-05 15:03:48.289804,-116126.655599
TestPybindStrategy,2021-Nov-05 15:04:49.482994,-116650.215442
TestPybindStrategy,2021-Nov-05 15:05:49.824046,-138062.840242
TestPybindStrategy,2021-Nov-05 15:06:50.788199,-101112.164460
TestPybindStrategy,2021-Nov-05 15:07:55.661282,-139289.650860
TestPybindStrategy,2021-Nov-05 15:09:00.359057,-99658.388674
TestPybindStrategy,2021-Nov-05 15:10:01.427832,-96393.508674
TestPybindStrategy,2021-Nov-05 15:11:07.198966,-79759.004047
TestPybindStrategy,2021-Nov-05 15:12:09.615362,-141592.640389
TestPybindStrategy,2021-Nov-05 15:13:14.298307,-76815.996060
TestPybindStrategy,2021-Nov-05 15:14:18.114875,-82774.573663
TestPybindStrategy,2021-Nov-05 15:15:21.620368,-83078.570994
TestPybindStrategy,2021-Nov-05 15:16:22.111630,-95563.268079
TestPybindStrategy,2021-Nov-05 15:17:22.934096,-82393.240242
TestPybindStrategy,2021-Nov-05 15:18:28.091133,-69491.551180
TestPybindStrategy,2021-Nov-05 15:19:29.972603,-81000.202735
TestPybindStrategy,2021-Nov-05 15:20:30.445954,-76269.257756
TestPybindStrategy,2021-Nov-05 15:21:31.800756,-94355.414908
TestPybindStrategy,2021-Nov-05 15:22:33.228807,-91096.051970
TestPybindStrategy,2021-Nov-05 15:23:34.329492,-152489.489167
TestPybindStrategy,2021-Nov-05 15:24:35.757414,-108595.587192
TestPybindStrategy,2021-Nov-05 15:25:38.883676,-154382.471813
TestPybindStrategy,2021-Nov-05 15:26:39.695179,-107766.148652
TestPybindStrategy,2021-Nov-05 15:27:44.043241,-116896.048652
TestPybindStrategy,2021-Nov-05 15:28:46.714435,-133881.001325
TestPybindStrategy,2021-Nov-05 15:29:47.087266,-156089.041711
TestPybindStrategy,2021-Nov-05 15:30:49.448858,-136611.188808
TestPybindStrategy,2021-Nov-05 15:31:51.608945,-157293.725176
TestPybindStrategy,2021-Nov-05 15:32:53.736866,-116803.983461
TestPybindStrategy,2021-Nov-05 15:33:54.144881,-121177.576332
TestPybindStrategy,2021-Nov-05 15:34:56.076691,-158423.176332
TestPybindStrategy,2021-Nov-05 15:35:56.541605,-126815.596332
TestPybindStrategy,2021-Nov-05 15:36:58.020870,-133093.848821
TestPybindStrategy,2021-Nov-05 15:38:01.839200,-127657.326949
TestPybindStrategy,2021-Nov-05 15:39:06.501184,-125825.574949
TestPybindStrategy,2021-Nov-05 15:40:12.725232,-133378.785349
TestPybindStrategy,2021-Nov-05 15:41:14.203314,-133402.906949
TestPybindStrategy,2021-Nov-05 15:42:18.428728,-127722.806949
TestPybindStrategy,2021-Nov-05 15:43:22.787544,-143045.726949
TestPybindStrategy,2021-Nov-05 15:44:25.065225,-160480.639749
TestPybindStrategy,2021-Nov-05 15:45:25.881358,-131808.446949
TestPybindStrategy,2021-Nov-05 15:46:27.231819,-129930.866949
TestPybindStrategy,2021-Nov-05 15:47:30.543706,-133881.506949
TestPybindStrategy,2021-Nov-05 15:48:31.112577,-112374.766949
TestPybindStrategy,2021-Nov-05 15:49:32.354631,-120330.806949
TestPybindStrategy,2021-Nov-05 15:50:34.530959,-162559.042207
TestPybindStrategy,2021-Nov-05 15:51:37.322479,-133467.054786
TestPybindStrategy,2021-Nov-05 15:52:41.318920,-163866.431132
TestPybindStrategy,2021-Nov-05 15:53:44.743621,-164233.329394
TestPybindStrategy,2021-Nov-05 15:54:45.934437,-142430.065224
TestPybindStrategy,2021-Nov-05 15:55:46.313062,-151252.937020
TestPybindStrategy,2021-Nov-05 15:56:47.541970,-153641.472917
TestPybindStrategy,2021-Nov-05 15:57:48.164253,-152126.666831
TestPybindStrategy,2021-Nov-05 15:58:50.366882,-144157.473292
TestPybindStrategy,2021-Nov-05 15:59:52.091027,-162930.581397
TestPybindStrategy,2021-Nov-05 16:00:54.288705,-142853.417224
TestPybindStrategy,2021-Nov-05 16:01:57.036217,-164340.427215
TestPybindStrategy,2021-Nov-05 16:03:00.037869,-138522.275871
TestPybindStrategy,2021-Nov-05 16:04:00.342888,-130231.635871
TestPybindStrategy,2021-Nov-05 16:05:01.464211,-124148.714133
TestPybindStrategy,2021-Nov-05 16:06:04.394322,-134972.570748
TestPybindStrategy,2021-Nov-05 16:07:05.892218,-147782.508831
TestPybindStrategy,2021-Nov-05 16:08:11.022331,-138703.853535
TestPybindStrategy,2021-Nov-05 16:09:12.342318,-142156.919164
TestPybindStrategy,2021-Nov-05 16:10:14.417508,-165914.730764
TestPybindStrategy,2021-Nov-05 16:11:15.304068,-148702.370764
TestPybindStrategy,2021-Nov-05 16:12:16.313661,-161791.997164
TestPybindStrategy,2021-Nov-05 16:13:17.908913,-175445.852152
TestPybindStrategy,2021-Nov-05 16:14:20.119845,-145421.586357
TestPybindStrategy,2021-Nov-05 16:15:21.766910,-154702.520405
TestPybindStrategy,2021-Nov-05 16:16:25.075532,-150804.568165
TestPybindStrategy,2021-Nov-05 16:17:26.406682,-154021.566955
TestPybindStrategy,2021-Nov-05 16:18:28.262737,-143147.493151
TestPybindStrategy,2021-Nov-05 16:19:30.916109,-150157.601451
TestPybindStrategy,2021-Nov-05 16:20:32.816084,-154760.181451
TestPybindStrategy,2021-Nov-05 16:21:35.976978,-166764.845900
TestPybindStrategy,2021-Nov-05 16:22:43.495012,-166263.929448
TestPybindStrategy,2021-Nov-05 16:23:52.839514,-152934.485615
TestPybindStrategy,2021-Nov-05 16:24:54.914383,-160082.563765
TestPybindStrategy,2021-Nov-05 16:25:58.830280,-164745.923765
TestPybindStrategy,2021-Nov-05 16:27:00.020740,-167401.681804
TestPybindStrategy,2021-Nov-05 16:28:01.018484,-161266.552668
TestPybindStrategy,2021-Nov-05 16:29:07.624538,-159799.502524
TestPybindStrategy,2021-Nov-05 16:30:09.758616,-160343.036616
TestPybindStrategy,2021-Nov-05 16:31:15.823867,-152830.093772
TestPybindStrategy,2021-Nov-05 16:32:17.396935,-155549.710072
TestPybindStrategy,2021-Nov-05 16:33:21.115720,-170102.230072
TestPybindStrategy,2021-Nov-05 16:34:24.082689,-163688.500197
TestPybindStrategy,2021-Nov-05 16:35:26.060888,-172041.988472
TestPybindStrategy,2021-Nov-05 16:36:27.699564,-207458.496232
TestPybindStrategy,2021-Nov-05 16:37:29.464848,-195377.413912
