StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
TestPybindStrategy,2021-Nov-05 13:30:03.670686,2021-Nov-05 13:30:04.273896,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.870000,100,0,100,0,151.870000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164636,,,
TestPybindStrategy,2021-Nov-05 13:30:03.837484,2021-Nov-05 13:30:03.837484,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164637,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169532,2021-Nov-05 13:30:04.169532,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.900000,100,0,100,0,151.900000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164638,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169654,2021-Nov-05 13:30:04.169654,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164639,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169995,2021-Nov-05 13:30:04.169995,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164640,,,
TestPybindStrategy,2021-Nov-05 13:30:04.170810,2021-Nov-05 13:30:04.170810,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164641,,,
TestPybindStrategy,2021-Nov-05 13:30:04.414362,2021-Nov-05 13:30:04.414362,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.840000,100,0,100,0,151.840000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164642,,,
TestPybindStrategy,2021-Nov-05 13:30:04.537294,2021-Nov-05 13:30:04.537294,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.830000,100,0,100,0,151.830000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164643,,,
TestPybindStrategy,2021-Nov-05 13:30:04.669008,2021-Nov-05 13:30:04.669008,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164644,,,
TestPybindStrategy,2021-Nov-05 13:30:04.966908,2021-Nov-05 13:30:04.966908,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.850000,100,0,100,0,151.850000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164645,,,
TestPybindStrategy,2021-Nov-05 13:30:04.966936,2021-Nov-05 13:30:04.966936,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.850000,100,0,100,0,151.850000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164646,,,
TestPybindStrategy,2021-Nov-05 13:30:05.344429,2021-Nov-05 13:30:05.344429,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164647,,,
TestPybindStrategy,2021-Nov-05 13:30:05.344431,2021-Nov-05 13:30:05.344431,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164648,,,
TestPybindStrategy,2021-Nov-05 13:30:06.134110,2021-Nov-05 13:30:06.134110,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164649,,,
TestPybindStrategy,2021-Nov-05 13:30:06.496232,2021-Nov-05 13:30:06.496232,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164650,,,
TestPybindStrategy,2021-Nov-05 13:30:07.203471,2021-Nov-05 13:30:07.203471,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.890000,100,0,100,0,151.890000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164651,,,
TestPybindStrategy,2021-Nov-05 13:30:08.030145,2021-Nov-05 13:30:08.030145,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645164652,,,
