Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-15902.843741
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-4216.203741
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-561.681651
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-2921.991589
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-7277.791589
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-1801.298389
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-172.594808
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-4046.338994
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-4648.098994
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-10839.358994
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-5563.818994
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-6584.558994
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-12118.918994
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-25873.478994
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-21717.038994
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-15772.778994
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-241681.798994
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-15185.058994
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-8001.978994
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-270653.438994
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-25705.098994
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-23721.658994
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-18373.578994
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-21496.558994
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-27805.118994
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-38574.178994
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-40733.698994
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-37546.978994
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-36075.938994
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-377562.246194
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-11567.806194
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-21993.846194
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-3418.112994
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-2925.772994
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-20519.206194
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-30866.954594
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-75896.861794
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-17732.524594
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-40495.398994
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-39419.298994
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-34774.070194
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-50318.398994
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-51003.078994
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-26551.378994
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-40217.358994
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-21597.878994
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-30623.498994
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-32227.358994
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-37433.878994
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-51704.457394
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-54357.578994
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-55970.198994
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-45761.718994
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-51133.278994
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-55139.431394
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-54058.158994
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-54694.598994
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-91919.698994
