Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-10891.650657
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-10252.346603
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-8582.509605
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-10371.309018
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-12852.208529
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-9981.383099
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-9137.617309
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-11515.887850
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-11900.667878
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-15585.336515
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-12485.375017
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-13137.369752
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-16485.439892
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-23862.493274
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-21774.126632
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-18809.362986
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-135740.561818
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-18988.471933
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-15756.899735
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-149919.411563
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-26875.689108
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-25842.774033
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-23613.381990
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-26126.857658
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-29335.708882
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-34724.480722
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-35960.211205
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-34486.201730
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-34120.085854
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-202870.562226
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-23465.235003
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-28715.351648
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-19885.637112
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-19926.152743
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-28811.493026
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-34075.576104
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-56375.363567
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-28128.350608
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-39235.143135
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-38741.810367
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-36471.859548
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-44289.305447
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-44790.902745
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-32784.919978
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-39774.578073
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-30739.126682
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-35325.334989
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-36060.313316
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-38692.389971
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-45812.746531
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-47170.085068
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-48135.805068
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-43091.864272
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-45860.163340
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-47933.248146
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-47419.998001
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-47882.433048
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-66135.165491
TestPybindStrategy,2021-Nov-05 14:29:03.270156,-67162.878262
TestPybindStrategy,2021-Nov-05 14:30:04.203738,-67779.052481
TestPybindStrategy,2021-Nov-05 14:31:05.273470,-54261.304163
TestPybindStrategy,2021-Nov-05 14:32:06.484538,-68244.321721
TestPybindStrategy,2021-Nov-05 14:33:08.212300,-69083.194648
TestPybindStrategy,2021-Nov-05 14:34:08.833662,-69464.418975
TestPybindStrategy,2021-Nov-05 14:35:09.478166,-69394.934346
TestPybindStrategy,2021-Nov-05 14:36:10.093939,-66426.938247
TestPybindStrategy,2021-Nov-05 14:37:11.112722,-64721.476689
TestPybindStrategy,2021-Nov-05 14:38:12.521434,-64014.443889
TestPybindStrategy,2021-Nov-05 14:39:16.646181,-91858.273751
TestPybindStrategy,2021-Nov-05 14:40:17.670792,-72413.108925
TestPybindStrategy,2021-Nov-05 14:41:18.210180,-71803.784140
TestPybindStrategy,2021-Nov-05 14:42:19.528742,-84217.748953
TestPybindStrategy,2021-Nov-05 14:43:20.545829,-76631.705165
TestPybindStrategy,2021-Nov-05 14:44:22.850544,-72021.750109
TestPybindStrategy,2021-Nov-05 14:45:24.427045,-69716.786567
TestPybindStrategy,2021-Nov-05 14:46:25.776940,-76945.365076
TestPybindStrategy,2021-Nov-05 14:47:29.923817,-84325.721601
TestPybindStrategy,2021-Nov-05 14:48:31.068517,-78744.928779
TestPybindStrategy,2021-Nov-05 14:49:32.509612,-78825.963166
