StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
TestPybindStrategy,2021-Nov-05 13:29:05.780864,2021-Nov-05 13:29:05.780864,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,0.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365729350156288,,non-market orders must have a positive limit price,
TestPybindStrategy,2021-Nov-05 13:29:05.780883,2021-Nov-05 13:29:05.780883,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,0.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365729350156289,,non-market orders must have a positive limit price,
TestPybindStrategy,2021-Nov-05 13:29:05.780901,2021-Nov-05 13:29:05.780901,REJECTED,REJECT,AAPL,BUY,LIMIT,DAY,0.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365729350156290,,non-market orders must have a positive limit price,
TestPybindStrategy,2021-Nov-05 13:30:00.297178,2021-Nov-05 13:30:00.297178,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.850000,-100,0,-100,0,151.850000,0.460144,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365729350156291,,,
TestPybindStrategy,2021-Nov-05 13:30:00.322193,2021-Nov-05 13:30:00.322193,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.860000,-100,0,-100,0,151.860000,0.460166,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365729350156292,,,
TestPybindStrategy,2021-Nov-05 13:30:00.322206,2021-Nov-05 13:30:00.322206,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.860000,-100,0,-100,0,151.860000,0.460166,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365729350156293,,,
