StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
TestPybindStrategy,2021-Nov-05 13:30:00.322193,2021-Nov-05 13:30:00.322193,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.860000,0.460166,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191547,,,
TestPybindStrategy,2021-Nov-05 13:30:00.558185,2021-Nov-05 13:30:00.558185,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.910000,0.460278,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191548,,,
TestPybindStrategy,2021-Nov-05 13:30:00.559354,2021-Nov-05 13:30:00.559354,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.865000,0.460178,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191549,,,
TestPybindStrategy,2021-Nov-05 13:30:00.603515,2021-Nov-05 13:30:00.603515,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.865200,0.460178,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191550,,,
TestPybindStrategy,2021-Nov-05 13:30:01.936345,2021-Nov-05 13:30:01.936345,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.866100,0.460180,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191551,,,
TestPybindStrategy,2021-Nov-05 13:30:02.701093,2021-Nov-05 13:30:02.701093,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191552,,,
TestPybindStrategy,2021-Nov-05 13:30:02.822618,2021-Nov-05 13:30:02.822618,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191553,,,
TestPybindStrategy,2021-Nov-05 13:30:02.829243,2021-Nov-05 13:30:02.829243,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.850000,0.460144,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191554,,,
TestPybindStrategy,2021-Nov-05 13:30:03.237286,2021-Nov-05 13:30:03.237286,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191555,,,
TestPybindStrategy,2021-Nov-05 13:30:03.244495,2021-Nov-05 13:30:03.244495,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191556,,,
TestPybindStrategy,2021-Nov-05 13:30:03.429220,2021-Nov-05 13:30:03.429220,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.810000,0.460054,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191557,,,
TestPybindStrategy,2021-Nov-05 13:30:03.670686,2021-Nov-05 13:30:03.670686,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191558,,,
TestPybindStrategy,2021-Nov-05 13:30:03.837484,2021-Nov-05 13:30:03.837484,FILLED,FILL,AAPL,BUY,LIMIT,DAY,153.820000,100,0,100,0,153.820000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191559,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169532,2021-Nov-05 13:30:04.169532,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.900000,100,0,100,0,151.900000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191560,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169654,2021-Nov-05 13:30:04.169654,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645191561,,,
