StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TestPybindStrategy,2021-Nov-05 13:30:00.297178,AAPL,10,151.880000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202813,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.322193,AAPL,-10,151.860000,0.046017,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202814,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.322206,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202815,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.452254,AAPL,-10,147.660000,0.045076,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202816,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.558185,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202817,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.559354,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202818,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.570926,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202818,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603515,AAPL,10,151.950000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202819,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603587,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202820,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-2,151.880000,0.009204,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202820,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,10,151.950000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202821,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-7,151.880000,0.032215,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202820,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202822,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202822,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.869385,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202823,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.894256,AAPL,-10,151.910000,0.046028,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202824,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.894278,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202825,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.030503,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202826,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.030505,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202826,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.289163,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202827,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.314178,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202828,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.317787,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202828,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.476721,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202829,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.936344,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202830,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.936345,AAPL,-1,151.880000,0.004602,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202830,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.936345,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202831,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.936346,AAPL,-8,151.880000,0.036817,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202830,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.936346,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202832,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.031160,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202832,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.218299,AAPL,10,151.970000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202833,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.506625,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202834,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.549659,AAPL,10,151.890000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202835,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.701093,AAPL,-10,147.660000,0.045076,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202836,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.822562,AAPL,10,151.880000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202837,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.822618,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645202834,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.822618,AAPL,-10,147.660000,0.045076,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202838,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.822619,AAPL,10,151.880000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202839,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.829243,AAPL,-10,151.850000,0.046014,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202840,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.829862,AAPL,10,151.870000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202841,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.193114,AAPL,-10,147.660000,0.045076,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202842,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.237229,AAPL,10,151.870000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202843,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.237286,AAPL,-10,147.660000,0.045076,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202844,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.244495,AAPL,10,151.860000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202845,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.429220,AAPL,-10,151.810000,0.046005,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202846,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.429319,AAPL,10,151.860000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202847,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.429320,AAPL,-10,151.810000,0.046005,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645202848,,FILL
