StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TestPybindStrategy,2021-Nov-05 13:30:00.297178,AAPL,-100,151.850000,0.460144,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187808,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.452254,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187809,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187810,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-50,151.870000,0.230094,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187810,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-49,151.860000,0.225482,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187810,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.701093,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187811,,FILL
TestPybindStrategy,2021-Nov-05 13:30:02.822619,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187812,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.237229,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187813,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.244495,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187814,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.502555,AAPL,-100,151.830000,0.460099,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187815,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.670686,AAPL,17,151.870000,0.020400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187816,,FILL
TestPybindStrategy,2021-Nov-05 13:30:03.837484,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187817,,FILL
TestPybindStrategy,2021-Nov-05 13:30:04.169532,AAPL,-100,151.870000,0.460189,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645187818,,FILL
