StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TestPybindStrategy,2021-Nov-05 13:30:00.297178,AAPL,10,151.880000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199040,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.322193,AAPL,-10,151.860000,0.046017,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199041,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.322206,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199042,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.452254,AAPL,-10,147.660000,0.045076,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199043,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.558185,AAPL,10,153.820000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199044,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.559354,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199045,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.570926,AAPL,-9,151.880000,0.041419,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645199045,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603515,AAPL,10,151.950000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199046,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603587,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199047,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-2,151.880000,0.009204,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645199047,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,10,151.950000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199048,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-7,151.880000,0.032215,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645199047,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645199049,,FILL
