Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-20577.780566
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-4458.140566
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-291.180566
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-3761.700566
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-9153.700566
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-2546.807366
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-626.440566
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-5434.340566
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-6103.200566
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-13502.260566
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-7220.220566
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-8442.260566
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-14781.820566
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-30415.180566
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-25721.940566
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-19039.580566
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-270782.100566
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-18317.660566
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-10329.380566
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-299753.740566
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-29777.100566
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-27525.260566
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-21640.380566
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-24964.660566
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-31810.020566
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-43451.380566
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-45745.100566
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-42289.980566
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-40684.740566
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-406662.547766
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-14297.807766
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-25327.747766
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-5477.114566
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-4917.674566
