StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
TestPybindStrategy,2021-Nov-05 13:30:00.297178,2021-Nov-05 13:30:00.297178,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.850000,0.460144,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187808,,,
TestPybindStrategy,2021-Nov-05 13:30:00.452254,2021-Nov-05 13:30:00.452254,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187809,,,
TestPybindStrategy,2021-Nov-05 13:30:00.603589,2021-Nov-05 13:30:00.603589,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.865200,0.460178,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187810,,,
TestPybindStrategy,2021-Nov-05 13:30:02.701093,2021-Nov-05 13:30:02.701093,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187811,,,
TestPybindStrategy,2021-Nov-05 13:30:02.822619,2021-Nov-05 13:30:02.822619,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187812,,,
TestPybindStrategy,2021-Nov-05 13:30:03.237229,2021-Nov-05 13:30:03.237229,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187813,,,
TestPybindStrategy,2021-Nov-05 13:30:03.244495,2021-Nov-05 13:30:03.244495,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,147.660000,0.450758,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187814,,,
TestPybindStrategy,2021-Nov-05 13:30:03.502555,2021-Nov-05 13:30:03.502555,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.830000,0.460099,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187815,,,
TestPybindStrategy,2021-Nov-05 13:30:03.670686,2021-Nov-05 13:30:04.273896,FILLED,FILL,AAPL,BUY,LIMIT,DAY,151.870000,100,0,100,0,151.870000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187816,,,
TestPybindStrategy,2021-Nov-05 13:30:03.837484,2021-Nov-05 13:30:03.837484,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.900000,0.460256,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187817,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169532,2021-Nov-05 13:30:04.169532,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187818,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169654,2021-Nov-05 13:30:04.169654,FILLED,FILL,AAPL,SELL,LIMIT,DAY,151.870000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187819,,,
TestPybindStrategy,2021-Nov-05 13:30:04.169995,2021-Nov-05 13:30:04.169995,FILLED,FILL,AAPL,SELL,LIMIT,DAY,1.000000,-100,0,-100,0,151.870000,0.460189,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,365733645187820,,,
